,"1 night, 2 adults
₱ 2,786
Price ₱ 2,786
+₱ 446 taxes and charges","Aanirustayinn
Opens in new window
HoarafushiShow on map
10
Scored 10
Exceptional
1 review
Double Room with Garden View
1 double bed
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 2,786
Price ₱ 2,786
+₱ 446 taxes and charges
See availability","10
Scored 10
Exceptional
1 review",Aanirustayinn,Hoarafushi,Double Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 5,134
Price ₱ 5,134
+₱ 1,417 taxes and charges","Breakfast included
Sunny Breeze View
Opens in new window
HangnaameedhooShow on map
10
Scored 10
Exceptional
2 reviews
Location 10
Deluxe Double Twin
Breakfast included
Free cancellation
1 night, 2 adults
₱ 5,134
Price ₱ 5,134
+₱ 1,417 taxes and charges
See availability","10
Scored 10
Exceptional
2 reviews",Sunny Breeze View,Hangnaameedhoo,Deluxe Double Twin,3 out of 5
,"1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,736 taxes and charges","Breakfast included
Relax Lodge
Opens in new window
ThoddooShow on map
9.4
Scored 9.4
Superb
24 reviews
Double or Twin Room with Balcony
Multiple bed types
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 1,736 taxes and charges
See availability","9.4
Scored 9.4
Superb
24 reviews",Relax Lodge,Thoddoo,Double or Twin Room with Balcony,3 out of 5
,"1 night, 2 adults
₱ 4,154
Price ₱ 4,154
+₱ 665 taxes and charges","Breakfast included
Chambao Maldives
Opens in new window
GuraidhooShow on map
9.6
Scored 9.6
Exceptional
12 reviews
Location 9.8
Double Room
1 large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 4,154
Price ₱ 4,154
+₱ 665 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
12 reviews",Chambao Maldives,Guraidhoo,Double Room,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges","Paradisola
Opens in new window
FodhdhooShow on map
10
Scored 10
Exceptional
1 review
Location 10
Family Room
2 beds (1 double, 1 bunk bed)
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges
See availability","10
Scored 10
Exceptional
1 review",Paradisola,Fodhdhoo,Family Room,3 out of 5
,"1 night, 2 adults
₱ 246,641
Price ₱ 246,641
+₱ 68,748 taxes and charges","Breakfast included
The Nautilus Maldives
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Baa AtollShow on map
9.6
Scored 9.6
Exceptional
29 reviews
Location 9.8
Ocean House with Private Pool |2 children below 12 years stay for free with all meals included (when accompanied by parents)
Entire villa • 1 bedroom • 1 bathroom • 282m²
2 beds (1 extra-large double, 1 sofa bed)
Breakfast included
Only 1 left at this price on our site
1 night, 2 adults
₱ 246,641
Price ₱ 246,641
+₱ 68,748 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
29 reviews",The Nautilus Maldives,Baa Atoll,Ocean House with Private Pool |2 children below 12 years stay for free with all meals included (when accompanied by parents),5 out of 5
,"1 night, 2 adults
₱ 5,910
Price ₱ 5,910
+₱ 2,023 taxes and charges","Dhigurah Dhonveli Boutique
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
DhigurahShow on map
9.6
Scored 9.6
Exceptional
50 reviews
Location 9.4
Deluxe Double or Twin Room
2 large double beds
Breakfast included
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
₱ 5,910
Price ₱ 5,910
+₱ 2,023 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
50 reviews",Dhigurah Dhonveli Boutique,Dhigurah,Deluxe Double or Twin Room,3 out of 5
,"1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 1,347 taxes and charges","Breakfast included
Ocean Cottage Maldives
Opens in new window
ThulusdhooShow on map
9.3
Scored 9.3
Superb
25 reviews
Location 9.6
Double or Twin Room
Multiple bed types
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 3,659
Price ₱ 3,659
+₱ 1,347 taxes and charges
See availability","9.3
Scored 9.3
Superb
25 reviews",Ocean Cottage Maldives,Thulusdhoo,Double or Twin Room,4 out of 5
,"1 night, 2 adults
₱ 2,020
Price ₱ 2,020
+₱ 895 taxes and charges","Summer Villa Guest House
Opens in new window
MaafushiShow on map
8.2
Scored 8.2
Very good
167 reviews
Deluxe Double Rooms
2 single beds
Free cancellation
1 night, 2 adults
₱ 2,020
Price ₱ 2,020
+₱ 895 taxes and charges
See availability","8.2
Scored 8.2
Very good
167 reviews",Summer Villa Guest House,Maafushi,Deluxe Double Rooms,3 out of 5
,"1 night, 2 adults
₱ 2,026
Price ₱ 2,026
+₱ 1,000 taxes and charges","Breakfast included
Boegas View Guesthouse
Opens in new window
VaikaradhooShow on map
10
Scored 10
Exceptional
3 reviews
Location 10
Double Room with Private External Bathroom
1 large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,026
Price ₱ 2,026
+₱ 1,000 taxes and charges
See availability","10
Scored 10
Exceptional
3 reviews",Boegas View Guesthouse,Vaikaradhoo,Double Room with Private External Bathroom,
,"1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 507 taxes and charges","Breakfast included
Fasdheythere Inn Maldives
Opens in new window
KendhooShow on map
10
Scored 10
Exceptional
3 reviews
Location 10
Double or Twin Room with Private Bathroom
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 5,066
Price ₱ 5,066
+₱ 507 taxes and charges
See availability","10
Scored 10
Exceptional
3 reviews",Fasdheythere Inn Maldives,Kendhoo,Double or Twin Room with Private Bathroom,
,"1 night, 2 adults
₱ 3,141
Price ₱ 3,141
+₱ 1,205 taxes and charges","Moodhu Surf House
Opens in new window
HimmafushiShow on map
8.9
Scored 8.9
Fabulous
33 reviews
Location 9.5
Standard Double Room
2 single beds
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,141
Price ₱ 3,141
+₱ 1,205 taxes and charges
See availability","8.9
Scored 8.9
Fabulous
33 reviews",Moodhu Surf House,Himmafushi,Standard Double Room,3 out of 5
,"1 night, 2 adults
₱ 3,431
Price ₱ 3,431
+₱ 947 taxes and charges","Turquoise Residence by UI
Opens in new window
HulhumaleShow on map
5.6
Scored 5.6
Review score
170 reviews
Superior Double Room
Breakfast included
Free cancellation
1 night, 2 adults
₱ 3,431
Price ₱ 3,431
+₱ 947 taxes and charges
See availability","5.6
Scored 5.6
Review score
170 reviews",Turquoise Residence by UI,Hulhumale,Superior Double Room,3 out of 5
,"1 night, 2 adults
₱ 2,941
Price ₱ 2,941
+₱ 812 taxes and charges","The G Ten Holiday Inn
Opens in new window
HulhumaleShow on map
5.9
Scored 5.9
Review score
21 reviews
Triple Room
Free cancellation
1 night, 2 adults
₱ 2,941
Price ₱ 2,941
+₱ 812 taxes and charges
See availability","5.9
Scored 5.9
Review score
21 reviews",The G Ten Holiday Inn,Hulhumale,Triple Room,
,"1 night, 2 adults
₱ 4,306
Price ₱ 4,306
+₱ 818 taxes and charges","Breakfast included
Bougan Villea Retreat
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
BodufolhudhooShow on map
9.8
Scored 9.8
Exceptional
4 reviews
Location 9.4
New to Booking.com
Deluxe King Room
1 extra-large double bed
Breakfast included
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 4,306
Price ₱ 4,306
+₱ 818 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
4 reviews",Bougan Villea Retreat,Bodufolhudhoo,Deluxe King Room,
,"1 night, 2 adults
₱ 3,128
Price ₱ 3,128
+₱ 501 taxes and charges","Velaa Garden View, Fodhdhoo- Maldives
Opens in new window
FodhdhooShow on map
10
Scored 10
Exceptional
3 reviews
Deluxe Room (2 Adults + 1 Child)
1 large double bed
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 3,128
Price ₱ 3,128
+₱ 501 taxes and charges
See availability","10
Scored 10
Exceptional
3 reviews","Velaa Garden View, Fodhdhoo- Maldives",Fodhdhoo,Deluxe Room (2 Adults + 1 Child),4 out of 5
,"1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 450 taxes and charges","Ontrack Travel Transit Hotel
Opens in new window
Male CityShow on map
7.9
Scored 7.9
Good
9 reviews
Twin Room with Private Bathroom
1 extra-large double bed
Free cancellation
Only 1 room left at this price on our site
1 night, 2 adults
₱ 4,503
Price ₱ 4,503
+₱ 450 taxes and charges
See availability","7.9
Scored 7.9
Good
9 reviews",Ontrack Travel Transit Hotel,Male City,Twin Room with Private Bathroom,
,"1 night, 2 adults
₱ 2,938
Price ₱ 2,938
+₱ 808 taxes and charges","Chao Guest House
Opens in new window
MaafushiShow on map
7.7
Scored 7.7
Good
141 reviews
Double or Twin Room with Balcony
Beds: 1 double or 2 singles
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,938
Price ₱ 2,938
+₱ 808 taxes and charges
See availability","7.7
Scored 7.7
Good
141 reviews",Chao Guest House,Maafushi,Double or Twin Room with Balcony,3 out of 5
,"1 night, 2 adults
₱ 8,161₱ 3,673
Original price ₱ 8,161. Current price ₱ 3,673.
+₱ 1,351 taxes and charges","Breakfast included
Kuredhi Beach Inn
Opens in new window
MaafushiShow on map
8.4
Scored 8.4
Very good
234 reviews
Deluxe Double Room with Balcony
1 large double bed
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 8,161₱ 3,673
Original price ₱ 8,161. Current price ₱ 3,673.
+₱ 1,351 taxes and charges
See availability","8.4
Scored 8.4
Very good
234 reviews",Kuredhi Beach Inn,Maafushi,Deluxe Double Room with Balcony,3 out of 5
,"1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 495 taxes and charges","Muladdu Inn
Opens in new window
FeydhooShow on map
9.3
Scored 9.3
Superb
15 reviews
Location 9.5
Double Room
1 large double bed
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 495 taxes and charges
See availability","9.3
Scored 9.3
Superb
15 reviews",Muladdu Inn,Feydhoo,Double Room,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges","Breakfast included
Ocean Vista Maldives,Maafushi
Opens in new window
MaafushiShow on map
7.7
Scored 7.7
Good
114 reviews
Deluxe Double or Twin Room
Beds: 1 double or 2 singles
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges
See availability","7.7
Scored 7.7
Good
114 reviews","Ocean Vista Maldives,Maafushi",Maafushi,Deluxe Double or Twin Room,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 788 taxes and charges","Breakfast included
Madivaru Kro
Opens in new window
RasduShow on map
8.6
Scored 8.6
Fabulous
69 reviews
Deluxe Double Room
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 788 taxes and charges
See availability","8.6
Scored 8.6
Fabulous
69 reviews",Madivaru Kro,Rasdu,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 6,079
Price ₱ 6,079
+₱ 1,310 taxes and charges","Breakfast included
Xen Midu Hotel Addu City Maldives
Opens in new window
MiduShow on map
8.4
Scored 8.4
Very good
5 reviews
Deluxe Double Room
1 extra-large double bed
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 6,079
Price ₱ 6,079
+₱ 1,310 taxes and charges
See availability","8.4
Scored 8.4
Very good
5 reviews",Xen Midu Hotel Addu City Maldives,Midu,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 3,940
Price ₱ 3,940
+₱ 630 taxes and charges","Fiyala Homestay
Opens in new window
FeydhooShow on map
9.2
Scored 9.2
Superb
17 reviews
Location 9.4
Double Room with Garden View
1 double bed
Free cancellation
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 3,940
Price ₱ 3,940
+₱ 630 taxes and charges
See availability","9.2
Scored 9.2
Superb
17 reviews",Fiyala Homestay,Feydhoo,Double Room with Garden View,
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges","finifenma stay please book if you already in Maldives
Opens in new window
Male CityShow on map
8.8
Scored 8.8
Fabulous
9 reviews
One-Bedroom Apartment
2 single beds
Free cancellation
Only 1 left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 450 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
9 reviews",finifenma stay please book if you already in Maldives,Male City,One-Bedroom Apartment,
,"1 night, 2 adults
₱ 4,306
Price ₱ 4,306
+₱ 1,526 taxes and charges","Breakfast included
Dacha Thoddoo
Opens in new window
ThoddooShow on map
8.0
Scored 8.0
Very good
9 reviews
Double or Twin Room with Garden View
2 single beds
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 4,306
Price ₱ 4,306
+₱ 1,526 taxes and charges
See availability","8.0
Scored 8.0
Very good
9 reviews",Dacha Thoddoo,Thoddoo,Double or Twin Room with Garden View,4 out of 5
,"1 night, 2 adults
₱ 4,812₱ 3,610
Original price ₱ 4,812. Current price ₱ 3,610.
Additional charges may apply","The Hive Beach
Opens in new window
Featured
This property matches your criteria and may be ranked higher in your search results. It will pay us a higher commission if you make a booking.
Male CityShow on map
7.3
Scored 7.3
Good
69 reviews
Standard Double or Twin Room
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 4,812₱ 3,610
Original price ₱ 4,812. Current price ₱ 3,610.
Additional charges may apply
See availability","7.3
Scored 7.3
Good
69 reviews",The Hive Beach,Male City,Standard Double or Twin Room,4 out of 5
,"1 night, 2 adults
₱ 4,081
Price ₱ 4,081
+₱ 1,127 taxes and charges","Breakfast included
Stingray Beach Inn
Opens in new window
MaafushiShow on map
8.0
Scored 8.0
Very good
208 reviews
Standard Double Room with Garden View
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
₱ 4,081
Price ₱ 4,081
+₱ 1,127 taxes and charges
See availability","8.0
Scored 8.0
Very good
208 reviews",Stingray Beach Inn,Maafushi,Standard Double Room with Garden View,3 out of 5
,"1 night, 2 adults
₱ 87,242
Price ₱ 87,242
+₱ 24,754 taxes and charges","Breakfast included
Four Seasons Resort Maldives at Kuda Huraa
Opens in new window
North Male AtollShow on map
9.5
Scored 9.5
Exceptional
129 reviews
Location 9.7
Deluxe Beach Pavilion with Pool King Bed
1 extra-large double bed
Breakfast included
1 night, 2 adults
₱ 87,242
Price ₱ 87,242
+₱ 24,754 taxes and charges
See availability","9.5
Scored 9.5
Exceptional
129 reviews",Four Seasons Resort Maldives at Kuda Huraa,North Male Atoll,Deluxe Beach Pavilion with Pool King Bed,5 out of 5
,"1 night, 2 adults
₱ 3,404
Price ₱ 3,404
+₱ 647 taxes and charges","Ithaa Hiya Dhihfushi
Opens in new window
DhiffushiShow on map
7.9
Scored 7.9
Good
7 reviews
New to Booking.com
Double Room with Private Bathroom
2 beds (1 single, 1 double)
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 3,404
Price ₱ 3,404
+₱ 647 taxes and charges
See availability","7.9
Scored 7.9
Good
7 reviews",Ithaa Hiya Dhihfushi,Dhiffushi,Double Room with Private Bathroom,3 out of 5
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 788 taxes and charges","Breakfast included
Ninos K.Guraidhoo
Opens in new window
GuraidhooShow on map
8.8
Scored 8.8
Fabulous
63 reviews
Location 9.6
Standard Double Room
1 double bed
Breakfast included
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 788 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
63 reviews",Ninos K.Guraidhoo,Guraidhoo,Standard Double Room,3 out of 5
,"1 night, 2 adults
₱ 9,287
Price ₱ 9,287
+₱ 3,013 taxes and charges","Breakfast included
Kamadhoo Inn
Opens in new window
Baa AtollShow on map
9.1
Scored 9.1
Superb
22 reviews
Location 9.5
Deluxe Double Room
1 large double bed
Breakfast included
Free cancellation
Only 5 rooms left at this price on our site
1 night, 2 adults
₱ 9,287
Price ₱ 9,287
+₱ 3,013 taxes and charges
See availability","9.1
Scored 9.1
Superb
22 reviews",Kamadhoo Inn,Baa Atoll,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 39,649
Price ₱ 39,649
+₱ 731 taxes and charges","All meals included
Kudafushi Resort & Spa
Opens in new window
Raa AtollShow on map
9.2
Scored 9.2
Superb
220 reviews
Location 9.3
Beach Villa
2 beds (1 sofa bed, 1 large double)
All meals included
1 night, 2 adults
₱ 39,649
Price ₱ 39,649
+₱ 731 taxes and charges
See availability","9.2
Scored 9.2
Superb
220 reviews",Kudafushi Resort & Spa,Raa Atoll,Beach Villa,5 out of 5
,"1 night, 2 adults
₱ 3,096₱ 2,322
Original price ₱ 3,096. Current price ₱ 2,322.
+₱ 709 taxes and charges","Ocean Way Guraidhoo
Opens in new window
GuraidhooShow on map
8.7
Scored 8.7
Fabulous
66 reviews
Getaway Deal
Double Room with Extra Bed
2 beds (1 single, 1 double)
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 3,096₱ 2,322
Original price ₱ 3,096. Current price ₱ 2,322.
+₱ 709 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
66 reviews",Ocean Way Guraidhoo,Guraidhoo,Double Room with Extra Bed,
,"1 night, 2 adults
₱ 2,533
Price ₱ 2,533
+₱ 1,037 taxes and charges","Breakfast included
White Tern Maldives
Opens in new window
MaamigiliShow on map
8.8
Scored 8.8
Fabulous
80 reviews
Double Room with Garden View
1 large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 2,533
Price ₱ 2,533
+₱ 1,037 taxes and charges
See availability","8.8
Scored 8.8
Fabulous
80 reviews",White Tern Maldives,Maamigili,Double Room with Garden View,
,"1 night, 2 adults
₱ 3,838
Price ₱ 3,838
+₱ 1,059 taxes and charges","Breakfast included
Arora Inn
Opens in new window
MaafushiShow on map
7.7
Scored 7.7
Good
129 reviews
Deluxe Double or Twin Room (10% off on Food & Beverage)
Beds: 1 double or 2 singles
Breakfast & dinner included
Free cancellation
1 night, 2 adults
₱ 3,838
Price ₱ 3,838
+₱ 1,059 taxes and charges
See availability","7.7
Scored 7.7
Good
129 reviews",Arora Inn,Maafushi,Deluxe Double or Twin Room (10% off on Food & Beverage),3 out of 5
,"1 night, 2 adults
₱ 5,008
Price ₱ 5,008
+₱ 801 taxes and charges","Resting View
Opens in new window
Male CityShow on map
8.7
Scored 8.7
Fabulous
39 reviews
Apartment with Balcony
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen
2 beds (1 sofa bed, 1 large double)
Free cancellation
Only 1 left at this price on our site
1 night, 2 adults
₱ 5,008
Price ₱ 5,008
+₱ 801 taxes and charges
See availability","8.7
Scored 8.7
Fabulous
39 reviews",Resting View,Male City,Apartment with Balcony,
,"1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 1,192 taxes and charges","Oceana Boutique
Opens in new window
MaafushiShow on map
7.9
Scored 7.9
Good
183 reviews
Deluxe Double Room with Balcony and Sea View
Beds: 1 double or 2 singles
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 3,096
Price ₱ 3,096
+₱ 1,192 taxes and charges
See availability","7.9
Scored 7.9
Good
183 reviews",Oceana Boutique,Maafushi,Deluxe Double Room with Balcony and Sea View,3 out of 5
,"1 night, 2 adults
₱ 6,046
Price ₱ 6,046
+₱ 1,669 taxes and charges","Breakfast included
Nala Veli Villa
Opens in new window
UkulhasShow on map
8.5
Scored 8.5
Very good
45 reviews
Location 9.4
Comfort Room
1 large double bed
Breakfast included
Free cancellation
1 night, 2 adults
₱ 6,046
Price ₱ 6,046
+₱ 1,669 taxes and charges
See availability","8.5
Scored 8.5
Very good
45 reviews",Nala Veli Villa,Ukulhas,Comfort Room,3 out of 5
,"1 night, 2 adults
₱ 6,191
Price ₱ 6,191
+₱ 1,328 taxes and charges","Breakfast included
Coco Cottage Local Style
Opens in new window
GuraidhooShow on map
9.4
Scored 9.4
Superb
60 reviews
Location 9.6
Deluxe Twin Room
2 single beds
Breakfast included
Free cancellation
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 6,191
Price ₱ 6,191
+₱ 1,328 taxes and charges
See availability","9.4
Scored 9.4
Superb
60 reviews",Coco Cottage Local Style,Guraidhoo,Deluxe Twin Room,3 out of 5
,"1 night, 2 adults
₱ 2,533
Price ₱ 2,533
+₱ 743 taxes and charges","Rasdhoo Wave Blue
Opens in new window
RasduShow on map
7.8
Scored 7.8
Good
26 reviews
Deluxe Twin Room
2 single beds
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,533
Price ₱ 2,533
+₱ 743 taxes and charges
See availability","7.8
Scored 7.8
Good
26 reviews",Rasdhoo Wave Blue,Rasdu,Deluxe Twin Room,
,"1 night, 2 adults
₱ 4,646
Price ₱ 4,646
+₱ 1,283 taxes and charges","Breakfast included
Amina Residency
Opens in new window
Male CityShow on map
7.9
Scored 7.9
Good
314 reviews
Deluxe King Room
1 extra-large double bed
Breakfast included
1 night, 2 adults
₱ 4,646
Price ₱ 4,646
+₱ 1,283 taxes and charges
See availability","7.9
Scored 7.9
Good
314 reviews",Amina Residency,Male City,Deluxe King Room,3 out of 5
,"1 night, 2 adults
₱ 10,131
Price ₱ 10,131
+₱ 1,621 taxes and charges","Maafolhey Han'dhaan - Ukulhas
Opens in new window
UkulhasShow on map
9.2
Scored 9.2
Superb
29 reviews
Location 9.5
Two-Bedroom House
Entire holiday home • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²
3 beds (1 sofa bed, 2 large doubles)
Only 1 left at this price on our site
1 night, 2 adults
₱ 10,131
Price ₱ 10,131
+₱ 1,621 taxes and charges
See availability","9.2
Scored 9.2
Superb
29 reviews",Maafolhey Han'dhaan - Ukulhas,Ukulhas,Two-Bedroom House,4 out of 5
,"1 night, 2 adults
₱ 3,343
Price ₱ 3,343
+₱ 1,260 taxes and charges","Breakfast included
Nala Island Village
Opens in new window
MaafushiShow on map
7.9
Scored 7.9
Good
128 reviews
Deluxe Double or Twin Room with Garden View
Multiple bed types
Breakfast included
Only 6 rooms left at this price on our site
1 night, 2 adults
₱ 3,343
Price ₱ 3,343
+₱ 1,260 taxes and charges
See availability","7.9
Scored 7.9
Good
128 reviews",Nala Island Village,Maafushi,Deluxe Double or Twin Room with Garden View,
,"1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 642 taxes and charges","Breakfast included
Rin'dha Retreats
Opens in new window
OmadhooShow on map
7.0
Scored 7.0
Good
2 reviews
Location 10
Double Room with Private Bathroom
1 extra-large double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 3,377
Price ₱ 3,377
+₱ 642 taxes and charges
See availability","7.0
Scored 7.0
Good
2 reviews",Rin'dha Retreats,Omadhoo,Double Room with Private Bathroom,
,"1 night, 2 adults
₱ 2,649
Price ₱ 2,649
+₱ 731 taxes and charges","Breakfast included
Ari Grand Hotel & Spa
Opens in new window
DhangethiShow on map
8.4
Scored 8.4
Very good
17 reviews
Deluxe Double Room with Balcony
1 large double bed
Breakfast included
1 night, 2 adults
₱ 2,649
Price ₱ 2,649
+₱ 731 taxes and charges
See availability","8.4
Scored 8.4
Very good
17 reviews",Ari Grand Hotel & Spa,Dhangethi,Deluxe Double Room with Balcony,
,"1 night, 2 adults
₱ 6,585
Price ₱ 6,585
+₱ 1,250 taxes and charges","Breakfast included
Brickwood Veli
Opens in new window
RasduShow on map
9.6
Scored 9.6
Exceptional
7 reviews
Location 9.6
Deluxe Triple Room
2 beds (1 single, 1 double)
Breakfast included
Only 1 room left at this price on our site
1 night, 2 adults
₱ 6,585
Price ₱ 6,585
+₱ 1,250 taxes and charges
See availability","9.6
Scored 9.6
Exceptional
7 reviews",Brickwood Veli,Rasdu,Deluxe Triple Room,
,"1 night, 2 adults
₱ 2,420
Price ₱ 2,420
+₱ 387 taxes and charges","Breakfast included
White Sand Inn
Opens in new window
MaamigiliShow on map
8.5
Scored 8.5
Very good
4 reviews
Location 10
Double Room
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site
1 night, 2 adults
₱ 2,420
Price ₱ 2,420
+₱ 387 taxes and charges
See availability","8.5
Scored 8.5
Very good
4 reviews",White Sand Inn,Maamigili,Double Room,
,"1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges","Breakfast included
Rindali Maldives Maaenboodhoo
Opens in new window
Dhaalu AtollShow on map
9.8
Scored 9.8
Exceptional
9 reviews
Location 9.4
Double Room with Garden View
Beds: 1 double or 2 singles
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site
1 night, 2 adults
₱ 2,814
Price ₱ 2,814
+₱ 1,114 taxes and charges
See availability","9.8
Scored 9.8
Exceptional
9 reviews",Rindali Maldives Maaenboodhoo,Dhaalu Atoll,Double Room with Garden View,
,"1 night, 2 adults
₱ 72,777
Price ₱ 72,777
+₱ 119,873 taxes and charges","Breakfast included
Six Senses Kanuhura
Opens in new window
Lhaviyani AtollShow on map
9.3
Scored 9.3
Superb
3 reviews
Location 10
Beach Villa
Entire villa • 1 bedroom • 1 living room • 1 bathroom • 87m²
2 beds (1 sofa bed, 1 large double)
Breakfast included
Only 4 left at this price on our site
1 night, 2 adults
₱ 72,777
Price ₱ 72,777
+₱ 119,873 taxes and charges
See availability","9.3
Scored 9.3
Superb
3 reviews",Six Senses Kanuhura,Lhaviyani Atoll,Beach Villa,
,"1 night, 2 adults
₱ 7,176₱ 5,023
Original price ₱ 7,176. Current price ₱ 5,023.
+₱ 1,141 taxes and charges","Ripple Beach Inn
Opens in new window
HulhumaleShow on map
7.3
Scored 7.3
Good
156 reviews
Deluxe Double Room
1 double bed
Breakfast included
Free cancellation
No prepayment needed – pay at the property
Only 2 rooms left at this price on our site
1 night, 2 adults
₱ 7,176₱ 5,023
Original price ₱ 7,176. Current price ₱ 5,023.
+₱ 1,141 taxes and charges
See availability","7.3
Scored 7.3
Good
156 reviews",Ripple Beach Inn,Hulhumale,Deluxe Double Room,3 out of 5
,"1 night, 2 adults
₱ 46,998
Price ₱ 46,998
+₱ 77,566 taxes and charges","Breakfast included
Outrigger Maldives Maafushivaru Resort
Opens in new window
DhangethiShow on map
9.4
Scored 9.4
Superb
210 reviews
Location 9.5
Water Villa
Private suite
2 beds (1 single, 1 extra-large double)
Breakfast included
Only 3 left at this price on our site
1 night, 2 adults
₱ 46,998
Price ₱ 46,998
+₱ 77,566 taxes and charges
See availability","9.4
Scored 9.4
Superb
210 reviews",Outrigger Maldives Maafushivaru Resort,Dhangethi,Water Villa,5 out of 5
